2,102,12,10,00,2001,WheelBearing,1.3,34.99,ECO123,1
2,102,12,10,05,2002,ClutchKit,6.5,199.00,GTI300,4
2,102,12,10,10,2003,DriveShaft,7.1,210.00,HYB567,5
2,102,12,10,15,2004,GasketSet,0.5,9.99,ECO123,3
2,102,12,10,20,2005,BrakeDisc,3.3,70.00,TDI200,2
2,102,12,10,25,2006,Camshaft,4.7,125.00,ECO123,6
2,102,12,10,30,2007,StarterMotor,4.0,99.00,HYB567,8
2,102,12,10,35,2008,EGRValve,2.4,68.00,TDI200,7
2,102,12,10,40,2009,TurboCharger,8.5,300.00,GTI300,9
2,102,12,10,45,2010,ShockAbsorber,6.0,140.00,ECO123,2
2,102,12,10,50,2011,WindshieldWiper,0.4,12.00,HYB567,1
