3,103,12,11,00,3001,FogLamp,1.0,28.99,TDI200,2
3,103,12,11,05,3002,ControlArm,4.3,88.00,GTI300,5
3,103,12,11,10,3003,Battery,9.0,250.00,ECO123,7
3,103,12,11,15,3004,ACCompressor,6.2,190.00,HYB567,6
3,103,12,11,20,3005,Thermostat,0.3,8.50,ECO123,3
3,103,12,11,25,3006,Grille,2.6,72.00,TDI200,4
3,103,12,11,30,3007,Muffler,5.2,102.00,GTI300,9
3,103,12,11,35,3008,HoodLatch,1.7,40.00,ECO123,1
3,103,12,11,40,3009,StrutMount,3.4,85.00,TDI200,2
3,103,12,11,45,3010,Axle,6.6,150.00,HYB567,8
3,103,12,11,50,3011,DoorHandle,0.6,14.00,GTI300,5
